Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Scaled_price
2002-04-18,1539.062089679622,1551.8876070936187,1523.6714687828257,1526.236572265625,1228700,0.0,0.0,-0.987370692290181
2002-04-19,1519.823374938965,1539.0616455078125,1497.378725941976,1539.0616455078125,786300,0.0,0.0,-0.9850496757882654
2002-04-22,1542.2678256856984,1544.8329280984815,1481.3466433821054,1487.7593994140625,677300,0.0,0.0,-0.9943340952625529
2002-04-23,1506.997667509934,1506.997667509934,1481.3466433821054,1487.7593994140625,582000,0.0,0.0,-0.9943340952625529
2002-04-24,1481.3468814609885,1487.7596385235902,1468.521367335785,1478.1405029296875,404500,0.0,0.0,-0.9960748742077377
2002-04-25,1474.9339720107967,1494.1722412109375,1455.6957028106558,1494.1722412109375,647700,0.0,0.0,-0.993173531782435
2002-04-26,1506.998379044654,1540.3447261554295,1494.1728609251252,1538.4208984375,1582400,0.0,0.0,-0.9851656349329554
2002-04-29,1532.6488939368207,1551.887164572011,1516.6170017408288,1548.6807861328125,1245000,0.0,0.0,-0.9833088526597525
2002-04-30,1539.0617252740083,1558.2999968399333,1523.029832302404,1535.8553466796875,477000,0.0,0.0,-0.9856299354366603
2002-05-01,1535.8553466796875,1535.8553466796875,1535.8553466796875,1535.8553466796875,0,0.0,0.0,-0.9856299354366603
2002-05-02,1539.061453395507,1557.0171703517879,1539.061453395507,1555.734619140625,251700,0.0,0.0,-0.9820322858516165
2002-05-03,1557.6584727684626,1599.9826634653414,1545.4742360526943,1596.135009765625,653900,0.0,0.0,-0.9747208287118624
2002-05-06,1599.983289429186,1657.0568416372812,1595.4943583566392,1648.0789794921875,700200,0.0,0.0,-0.9653202733595725
2002-05-07,1633.970469107279,1673.7295621546305,1577.5382080078127,1577.5382080078125,805700,0.0,0.0,-0.9780863832742139
2002-05-08,1603.1894531249998,1612.8085898437498,1583.9511796875,1603.189453125,797300,0.0,0.0,-0.9734441514454061
2002-05-09,1632.688215843207,1632.688215843207,1572.4082895709125,1586.516357421875,383400,0.0,0.0,-0.976461563473719
2002-05-10,1577.538170941928,1587.1573061305983,1558.2999005645875,1583.950927734375,160000,0.0,0.0,-0.97692584188576
2002-05-13,1603.1893120437371,1603.1893120437371,1557.658735581695,1564.7127685546875,493600,0.0,0.0,-0.9804074660511217
2002-05-14,1570.4841753703793,1583.950964950934,1564.7126941215702,1577.5382080078125,570000,0.0,0.0,-0.9780863832742139
2002-05-15,1583.3096892566216,1583.950964950934,1571.1254510646913,1577.5382080078125,43800,0.0,0.0,-0.9780863832742139
2002-05-16,1585.8746571984311,1585.8746571984311,1555.0934264885545,1558.2998046875,570800,0.0,0.0,-0.9815680516229037
2002-05-17,1577.5384415467975,1577.5384415467975,1542.2682731382308,1550.6048583984375,431800,0.0,0.0,-0.9829606438507218
2002-05-20,1550.6048583984375,1550.6048583984375,1550.6048583984375,1550.6048583984375,0,0.0,0.0,-0.9829606438507218
2002-05-21,1539.0617516762452,1539.0617516762452,1484.5533146377115,1506.356689453125,1425200,0.0,0.0,-0.9909684523335452
2002-05-22,1494.172423642729,1494.172423642729,1452.489501953125,1452.489501953125,2456300,0.0,0.0,-1.0007170618532173
2002-05-23,1453.1307891354982,1487.7596781969796,1431.3274145412322,1475.575439453125,922700,0.0,0.0,-0.9965390863447865
2002-05-24,1481.3467961728961,1503.7914445997583,1467.2387314474402,1471.7276611328125,573800,0.0,0.0,-0.9972354376878557
2002-05-27,1471.727497485128,1480.7053558575863,1468.5211194949643,1470.4449462890625,136100,0.0,0.0,-0.9974675768938761
2002-05-28,1481.3466668379933,1493.5309034916393,1449.2828861705043,1462.1083984375,319400,0.0,0.0,-0.9989762829080326
2002-05-29,1449.2828861705043,1471.086257024397,1439.6637519702576,1462.1083984375,153800,0.0,0.0,-0.9989762829080326
2002-05-30,1455.0547467093181,1500.5853271484375,1446.076885777661,1500.5853271484375,624700,0.0,0.0,-0.9920129241189889
2002-05-31,1483.2709008378197,1496.7376924148168,1439.6641471599244,1448.000732421875,630500,0.0,0.0,-1.0015294165243047
2002-06-03,1443.5116147916385,1486.4770871110697,1443.5116147916385,1478.1405029296875,422800,0.0,0.0,-0.9960748742077377
2002-06-04,1463.537656430845,1489.4984130859375,1460.9415807653356,1489.4984130859375,280700,27.5,0.0,-0.9940193774162485
2002-06-05,1479.1137169545516,1484.9548856480974,1464.1862858488232,1475.2196044921875,344000,0.0,0.0,-0.996603483545543
2002-06-06,1480.411966376787,1489.4982300897527,1440.8218173417217,1449.9080810546875,567600,0.0,0.0,-1.001184234273251
2002-06-07,1423.2984971973995,1427.8416296553937,1401.8808727525684,1421.3514404296875,2327700,0.0,0.0,-1.0063522697985277
2002-06-10,1427.8413784753875,1434.3315665593664,1421.3511903914084,1423.947265625,2009700,0.0,0.0,-1.005882490562134
2002-06-11,1422.6495232599432,1436.92794000799,1412.2652201704545,1427.8416748046875,511000,0.0,0.0,-1.005177700203391
2002-06-12,1418.106251004376,1437.5768173797221,1418.106251004376,1435.6297607421875,380400,0.0,0.0,-1.0037682520358895
2002-06-13,1440.8218888497536,1453.1532473579273,1428.49053034158,1432.3846435546875,517300,0.0,0.0,-1.0043555368334578
2002-06-14,1427.8416296553937,1428.4906485779645,1414.861251203981,1421.3514404296875,659800,0.0,0.0,-1.0063522697985277
2002-06-17,1422.0002091998062,1427.8413784753875,1414.8610023074293,1423.947265625,355100,0.0,0.0,-1.005882490562134
2002-06-18,1428.490706343715,1449.9083316546385,1421.3514979067404,1447.312255859375,156600,0.0,0.0,-1.001654013509645
2002-06-19,1424.5964895825866,1428.4906029937463,1411.6161115453876,1414.8612060546875,269800,0.0,0.0,-1.0075268393936645
2002-06-20,1425.8943295212043,1425.8943295212043,1375.9198810127234,1380.4630126953125,737300,0.0,0.0,-1.0137520494112233
2002-06-21,1375.9200131425232,1408.370956848715,1353.2043525481893,1388.900390625,285300,0.0,0.0,-1.0122250956825471
2002-06-24,1407.7218445975825,1407.7218445975825,1362.2905264224646,1375.919921875,443900,0.0,0.0,-1.0145742348728206
2002-06-25,1383.0591170232099,1395.390474706664,1368.1316840379757,1381.112060546875,747200,0.0,0.0,-1.0136345880333768
2002-06-26,1330.4885849074938,1355.1513001399253,1301.2827379217194,1304.52783203125,1584500,0.0,0.0,-1.0274944120526683
2002-06-27,1330.4886093828359,1330.4886093828359,1266.2357448321527,1294.1435546875,2083700,0.0,0.0,-1.0293737057315557
2002-06-28,1298.6868795072116,1304.5280498798077,1252.6065354567309,1265.5869140625,1445400,0.0,0.0,-1.0345417412568323
2002-07-01,1271.4280886780693,1369.429947478676,1265.5869182859801,1350.6083984375,1748900,0.0,0.0,-1.0191549856005289
2002-07-02,1336.3297769063115,1353.204266561272,1311.0180424238704,1321.40234375,1179300,0.0,0.0,-1.024440548778644
2002-07-03,1317.5083656939337,1385.6553501263786,1298.0377987132351,1379.1651611328125,994900,0.0,0.0,-1.0139869279835882
2002-07-04,1395.3907276500354,1434.3318642356178,1383.0593677312677,1427.8416748046875,942200,0.0,0.0,-1.005177700203391
2002-07-05,1440.8220190204722,1495.9886278568417,1440.8220190204722,1479.1141357421875,928900,0.0,0.0,-0.995898671095136
2002-07-08,1453.802288957269,1466.7826665372445,1396.0396087263773,1397.337646484375,419600,0.0,0.0,-1.010698164045535
2002-07-09,1414.8613362630208,1418.1064310709635,1356.4496297200521,1362.9398193359375,594000,0.0,0.0,-1.016923307788102
2002-07-10,1349.3104522964434,1388.900609867431,1348.66143331987,1374.6221923828125,464000,0.0,0.0,-1.0148090913535215
2002-07-11,1352.555193455523,1378.5159457291415,1344.7669677734375,1344.7669677734375,504000,0.0,0.0,-1.0202121380011473
2002-07-12,1369.43002208469,1379.1653066018798,1357.0986616962498,1357.7476806640625,391700,0.0,0.0,-1.0178629546275457
2002-07-15,1366.184589254445,1366.184589254445,1317.5081787109375,1317.5081787109375,347600,0.0,0.0,-1.025145294954059
2002-07-16,1336.9789971580392,1342.8201675339724,1298.0378613184846,1314.912353515625,580800,0.0,0.0,-1.0256150741904526
2002-07-17,1330.4885834513584,1347.3630728024489,1299.3356800339607,1331.78662109375,698400,0.0,0.0,-1.0225612550997565
2002-07-18,1349.9593505859375,1356.4495397714468,1336.329953296368,1349.9593505859375,451200,0.0,0.0,-1.0192724469783754
2002-07-19,1311.0180174382165,1360.343447797278,1311.0180174382165,1359.04541015625,430400,0.0,0.0,-1.0176280981468449
2002-07-22,1330.4886627197266,1343.4690399169922,1298.0377197265625,1298.0377197265625,507500,0.0,0.0,-1.028668959556141
2002-07-23,1317.508344316816,1329.1906843156844,1291.5475887637754,1299.3358154296875,568500,0.0,0.0,-1.0284340368004479
2002-07-24,1296.0907308620876,1296.0907308620876,1156.5516687011718,1168.2340087890625,1929800,0.0,0.0,-1.0521601747255627
2002-07-25,1229.891116598378,1242.8714977761974,1174.7244965926461,1194.195068359375,1933600,0.0,0.0,-1.0474618742533517
2002-07-26,1200.685195963892,1207.1753862123455,1118.2597798085328,1206.5263671875,3105000,0.0,0.0,-1.0452302185325888
2002-07-29,1232.486814880371,1252.6063995361328,1220.804475402832,1246.1162109375,547400,0.0,0.0,-1.0380654500422424
2002-07-30,1259.0967858905683,1287.653620209736,1242.8713118455867,1253.255615234375,1284600,0.0,0.0,-1.0367733969775952
2002-07-31,1258.4478252572073,1305.8262116645183,1252.6066543302786,1290.249755859375,1088700,0.0,0.0,-1.0300783856319784
2002-08-01,1291.5478049846304,1314.2634698964205,1290.8987859871509,1309.7203369140625,852700,0.0,0.0,-1.0265546989382324
2002-08-02,1291.5477097455191,1329.83982777315,1285.0575202493105,1323.9986572265625,423700,0.0,0.0,-1.023970681175594
2002-08-05,1298.6868444008783,1299.9848822263664,1275.3221635420919,1292.1966552734375,702200,0.0,0.0,-1.0297260456817672
2002-08-06,1262.9909712357955,1320.753662109375,1249.361572265625,1320.753662109375,651700,0.0,0.0,-1.0245579438814982
2002-08-07,1329.8396438598631,1329.8396438598631,1291.5475311279297,1298.0377197265625,542900,0.0,0.0,-1.028668959556141
2002-08-08,1311.6669631202622,1324.6473388067566,1306.4748128456642,1311.0179443359375,217700,0.0,0.0,-1.0263198645491955
2002-08-09,1330.4887413139918,1330.4887413139918,1291.547607421875,1291.547607421875,775800,0.0,0.0,-1.0298435070596135
2002-08-12,1274.6731160686245,1291.547607421875,1270.7790026794128,1291.547607421875,252000,0.0,0.0,-1.0298435070596135
2002-08-13,1292.8455160514886,1309.0709868854683,1285.0572900511786,1307.77294921875,221500,0.0,0.0,-1.0269071272550998
2002-08-14,1299.9850541548296,1323.9987571022727,1299.9850541548296,1320.753662109375,557900,0.0,0.0,-1.0245579438814982
2002-08-15,1323.998681640625,1379.1652933756511,1323.998681640625,1362.9398193359375,729100,0.0,0.0,-1.016923307788102
2002-08-16,1362.9394943649704,1382.4100585701842,1344.7669677734375,1344.7669677734375,451300,0.0,0.0,-1.0202121380011473
2002-08-19,1344.7669677734375,1344.7669677734375,1344.7669677734375,1344.7669677734375,0,0.0,0.0,-1.0202121380011473
2002-08-20,1344.7669677734375,1344.7669677734375,1344.7669677734375,1344.7669677734375,0,0.0,0.0,-1.0202121380011473
2002-08-21,1347.3632703993055,1407.722029622396,1329.839759657118,1401.880859375,1098300,0.0,0.0,-1.0098759564922737
2002-08-22,1402.5296894750702,1466.7825535463483,1402.5296894750702,1444.06689453125,1997600,0.0,0.0,-1.0022413424905414
2002-08-23,1444.0670595101433,1475.8689857645238,1434.3317759628837,1464.1866455078125,920800,0.0,0.0,-0.9986001723272847
2002-08-26,1453.8022916666666,1470.027763671875,1447.3121028645833,1460.29248046875,520500,0.0,0.0,-0.9993049185026996
2002-08-27,1460.9413705142515,1481.0609540264425,1460.9413705142515,1476.517822265625,914200,0.0,0.0,-0.996368538698186
2002-08-28,1460.292557307652,1466.1337275368826,1447.3121790204727,1453.8023681640625,649400,0.0,0.0,-1.0004794660061722
2002-08-29,1445.36512677228,1445.36512677228,1395.3906702112267,1401.880859375,553600,0.0,0.0,-1.0098759564922737
